# M1939-0 Flight Profile (Up to date)
# 992 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
83.096,5718.866,-93.416,NaN
83.596,5672.174,-93.349,NaN
84.096,5625.516,-93.283,NaN
84.596,5578.891,-93.217,NaN
85.096,5532.3,-93.151,NaN
85.596,5485.741,-93.085,NaN
86.096,5439.215,-93.019,NaN
86.596,5392.721,-92.954,NaN
87.096,5346.261,-92.889,NaN
87.596,5299.832,-92.824,NaN
88.096,5253.437,-92.759,NaN
88.596,5207.073,-92.695,NaN
89.096,5160.742,-92.631,NaN
89.596,5114.442,-92.567,NaN
90.096,5068.175,-92.503,NaN
90.596,5021.939,-92.439,NaN
91.096,4975.735,-92.376,NaN
91.596,4929.563,-92.313,NaN
92.096,4883.422,-92.25,NaN
92.596,4837.313,-92.186,NaN
93.096,4791.236,-92.122,NaN
93.596,4745.192,-92.057,NaN
94.096,4699.18,-91.991,NaN
94.596,4653.2,-91.926,NaN
95.096,4607.253,-91.861,NaN
95.596,4561.339,-91.796,NaN
96.096,4515.457,-91.731,NaN
96.596,4469.608,-91.666,NaN
97.096,4423.791,-91.602,NaN
97.596,4378.006,-91.537,NaN
98.096,4332.253,-91.473,NaN
98.596,4286.533,-91.409,NaN
99.096,4240.844,-91.346,NaN
99.596,4195.187,-91.282,NaN
100.096,4149.562,-91.219,NaN
100.596,4103.968,-91.156,NaN
101.096,4058.406,-91.093,NaN
101.596,4012.875,-91.03,NaN
102.096,3967.375,-90.968,NaN
102.596,3921.907,-90.906,NaN
103.096,3876.469,-90.844,NaN
103.596,3831.063,-90.782,NaN
104.096,3785.687,-90.721,NaN
104.596,3740.342,-90.659,NaN
105.096,3695.028,-90.598,NaN
105.596,3649.744,-90.537,NaN
106.096,3604.491,-90.476,NaN
106.596,3559.268,-90.416,NaN
107.096,3514.075,-90.355,NaN
107.596,3468.912,-90.295,NaN
108.096,3423.78,-90.235,NaN
108.596,3378.677,-90.176,NaN
109.096,3333.604,-90.116,NaN
109.596,3288.561,-90.057,NaN
110.096,3243.547,-89.998,NaN
110.596,3198.563,-89.938,NaN
111.096,3153.61,-89.877,NaN
111.596,3108.687,-89.816,NaN
112.096,3063.794,-89.754,NaN
112.596,3018.933,-89.693,NaN
113.096,2974.101,-89.632,NaN
113.596,2929.301,-89.57,NaN
114.096,2884.531,-89.509,NaN
114.596,2839.792,-89.448,NaN
115.096,2795.083,-89.388,NaN
115.596,2750.404,-89.327,NaN
116.096,2705.756,-89.267,NaN
116.596,2661.138,-89.206,NaN
117.096,2616.549,-89.146,NaN
117.596,2571.991,-89.087,NaN
118.096,2527.463,-89.027,NaN
118.596,2482.964,-88.968,NaN
119.096,2438.495,-88.909,NaN
119.596,2394.055,-88.85,NaN
120.096,2349.645,-88.791,NaN
